rate,density,I_db,target,prr_check
1,0.9393203883495146,24.675714232606754,0.3018276062529363,0.3018276062529363
5,5.0,24.723628779973403,0.2760467140434841,0.2760467140434807
25,22.9,30.207820871112858,0.13048679320112905,0.13048679320112902
50,43.5,36.196004362300734,0.05409061088208618,0.054090610882086436
75,35.77008342570445,30.537155978575715,0.11905005678359921,0.11905005678359923
100,60.8,33.67629675625034,0.0704893499688109,0.07048934996881098
