rate,density,mu,sigma,agg_model,agg_ns3
5,4.96282230661603,13.904031721298153,1.8567275907435719,0.830637262928486,0.2760467140434841
25,22.933229727479603,20.42205806583033,8.283676852137646,0.5211808877338523,0.13048679320112905
50,43.51531705550358,28.612195440737647,8.380839040093914,0.28483869675146495,0.05409061088208618
100,60.75075628041562,32.13608994034592,9.079391240153047,0.20123530920012286,0.0704893499688109
