snr_db,bler
0.5,1.0
1.5,0.9994522969895552
2.5,0.9877055143314418
3.5,0.9397940118281064
4.5,0.8188126152500808
5.5,0.723349851786482
6.5,0.6869814766501435
7.5,0.6772064142753798
8.5,0.5887519575134472
9.5,0.36709555939118155
10.5,0.25804422074420275
11.5,0.20413737291993317
12.5,0.18107041017767056
13.5,0.1625677365568987
14.5,0.14396733403582718
15.5,0.12678164196123154
16.5,0.1175348943635115
17.5,0.10212731273942455
18.5,0.10212731273942455
19.5,0.09608173978252721
20.5,0.09159622078567875
21.5,0.0900644071375779
22.5,0.08329782701320831
23.5,0.08329782701320831
24.5,0.07309560478616284
25.5,0.07184879208912254
26.5,0.07184879208912254
27.5,0.07184879208912254
28.5,0.07004697430229345
29.5,0.07004697430229345
30.5,0.06772312752279863
31.5,0.06772312752279863
32.5,0.0645843500894745
33.5,0.0645843500894745
34.5,0.059015829318651125
35.5,0.059015829318651125
36.5,0.05313059033989265
37.5,0.05313059033989265
38.5,0.05313059033989265
39.5,0.050824702723436865
