rate,density,delivered,lost_collision,lost_halfduplex,lost_decode
5,8.4,0.7792835516975098,0.12415938627263771,0.08545184519501393,0.011105216834838475
25,35.1,0.31190548206049573,0.585870622669295,0.10022049992064706,0.002003395349562056
50,58.1,0.27120575720254003,0.6224404236625787,0.10609201333219011,0.00026180580269113604
100,60.8,0.2533640393357238,0.6400730410179107,0.10628925560722151,0.0002736640391439786
