ns3,omnet,geom,seed,dist,att_ns3,att_omnet
0.7412808795823449,0.5261606253773355,intersection,0,0,245753,255078
0.5022650599910279,0.31102688240540194,intersection,0,10,385641,408148
0.3245097154714513,0.207889738282356,intersection,0,20,354692,363789
0.22966747889188427,0.15830474439253106,intersection,0,30,393569,425281
0.17293305585705188,0.12830650393405932,intersection,0,40,445924,459322
0.1399694535390016,0.11203685513339358,intersection,0,50,474032,509020
0.12071903430146508,0.09779475531695231,intersection,0,60,446599,484300
0.10220077925240473,0.08911018104263883,intersection,0,70,459928,498888
0.10714973580947651,0.09051640040699444,intersection,0,80,430939,476665
0.0990074212405046,0.08363265525199935,intersection,0,90,411252,465775
0.08435900133249176,0.07242618428352565,intersection,0,100,342216,392938
0.08112048470817505,0.0683264888581405,intersection,0,110,272989,338229
0.07386145211307311,0.06190608263829731,intersection,0,120,234114,302862
0.07071447851573441,0.06145988135127275,intersection,0,130,196353,250993
0.07239639472831513,0.057177497327078615,intersection,0,140,151223,195479
0.07797421311432302,0.05914925089833293,intersection,0,150,114089,152783
0.07641933830647457,0.05921372103412777,intersection,0,160,87805,102966
0.07342178120117321,0.0571753884622254,intersection,0,170,72962,89584
0.08084985027805504,0.06477466824333201,intersection,0,180,49091,60888
0.0933496426961952,0.07236058678963236,intersection,0,190,31066,39469
0.08438991838201325,0.06242140561687858,intersection,0,200,19481,28628
0.07156502571638501,0.05273662733966114,intersection,0,210,13610,22546
0.07472941176470588,0.053678528588564575,intersection,0,220,10625,20008
0.07155787456074965,0.05868292099916338,intersection,0,230,9391,16734
0.06586004739927653,0.05383965147278757,intersection,0,240,8017,15379
0.06242219455806509,0.049586155003762226,intersection,0,250,5623,13290
0.07910295616717634,0.08429891941153496,intersection,0,260,4905,15362
0.076,0.05993676183390682,intersection,0,270,3750,21506
0.09159697331740342,0.051620802990268735,intersection,0,280,2511,15517
0.09906759906759907,0.060265166733627966,intersection,0,290,1716,7467
0.7757821453618652,0.766246818262936,intersection,1,0,175383,212934
0.6093240025235489,0.6728990758538379,intersection,1,10,274217,303307
0.45996157308713087,0.5284503320979047,intersection,1,20,256591,272510
0.3422100407178064,0.41901414997861697,intersection,1,30,265977,268905
0.269223022645335,0.3435182632667126,intersection,1,40,297898,290200
0.21957150324548577,0.28034770073877086,intersection,1,50,302266,321886
0.19164709065640104,0.23172527429415843,intersection,1,60,325228,382345
0.16965092922005992,0.19374820748146024,intersection,1,70,324089,390512
0.16354603577836058,0.16866079279157772,intersection,1,80,328299,385549
0.151348406428766,0.14303532692903626,intersection,1,90,312035,387240
0.1403219448623167,0.12226874645316646,intersection,1,100,248614,325995
0.12346933951113423,0.10648622116261132,intersection,1,110,211510,285220
0.1175137925686305,0.09331890495304485,intersection,1,120,180532,238419
0.12367690643082278,0.08234445356618653,intersection,1,130,148799,200985
0.12176734271652927,0.07422306096322782,intersection,1,140,127604,181224
0.12395663629598343,0.06587855297157623,intersection,1,150,99438,154800
0.11497726932107709,0.05863274437543896,intersection,1,160,80068,126721
0.12114230861531078,0.05361791284840532,intersection,1,170,62505,94502
0.1396559633027523,0.047187362581605385,intersection,1,180,43600,59126
0.15312675604078027,0.04144563200668984,intersection,1,190,24914,38267
0.1379198125488154,0.029634300126103404,intersection,1,200,15364,26962
0.11447978793903248,0.025539300768658568,intersection,1,210,12072,24198
0.11190116434094748,0.021156045326957064,intersection,1,220,11251,19238
0.09102030829459261,0.017210597729058058,intersection,1,230,8174,14003
0.09751102709514808,0.01556138604903646,intersection,1,240,6348,11053
0.09204033469212615,0.011983632112236945,intersection,1,250,4661,10264
0.10180671063951821,0.011584890965732087,intersection,1,260,3487,10272
0.11387526278906797,0.009360915289494972,intersection,1,270,2854,17306
0.12074169900819319,0.008425590281179583,intersection,1,280,2319,10207
0.13143989431968295,0.0054621848739495795,intersection,1,290,1514,4760
0.7282790782808689,0.728446231419794,intersection,2,0,251313,274082
0.516584557025444,0.6238819131421817,intersection,2,10,419155,426398
0.3380221116760168,0.4763257997063665,intersection,2,20,365056,359632
0.23625618749368624,0.37845878897898677,intersection,2,30,395960,390563
0.17025292033535622,0.3009765986574911,intersection,2,40,427605,437539
0.13209301099017015,0.2460076793729932,intersection,2,50,455043,493009
0.11091183329953357,0.20464195057540607,intersection,2,60,473376,527106
0.09612623274161736,0.17131160074561658,intersection,2,70,507000,549344
0.08877058512258872,0.1466882804008501,intersection,2,80,498904,535462
0.0845615661812741,0.1266950382048554,intersection,2,90,474530,516950
0.07102545210118794,0.10797857097544063,intersection,2,100,386805,457137
0.06820514689358187,0.09477968510395958,intersection,2,110,329286,382793
0.06504618596945144,0.0845648379166324,intersection,2,120,264366,328257
0.06893896228766781,0.07521855859763531,intersection,2,130,224648,267434
0.0696749247837533,0.06762336528358105,intersection,2,140,170176,202711
0.07465940524097994,0.061205870403501145,intersection,2,150,116047,140297
0.07134106452572109,0.05450891311507249,intersection,2,160,84075,118421
0.06859115936168227,0.04788348700754401,intersection,2,170,64294,85896
0.07687460617517328,0.0415561167407218,intersection,2,180,47610,62566
0.08847468157812985,0.03642427990811097,intersection,2,190,32190,45272
0.07733280725981456,0.027231675753070103,intersection,2,200,25345,36318
0.07361560226354083,0.023623769595333577,intersection,2,210,19792,27430
0.06342112263899974,0.019738982683200172,intersection,2,220,18795,27661
0.05714788113240724,0.01704088022184453,intersection,2,230,17061,22358
0.052282828282828285,0.013284745606347157,intersection,2,240,12375,21679
0.05465355591127372,0.01259102974205404,intersection,2,250,8746,14693
0.053502085430749316,0.011238107400549134,intersection,2,260,6953,15661
0.060950217679348856,0.008403010033444815,intersection,2,270,5283,23920
0.05720695457094784,0.00681224337439343,intersection,2,280,3566,10716
0.062101376300772074,0.005912300870422073,intersection,2,290,2979,6089
0.7295904658036575,0.7435894999857492,intersection,3,0,189801,210514
0.5248079864203963,0.644358939123265,intersection,3,10,297505,327465
0.36425289569978264,0.49660920662536173,intersection,3,20,290776,337974
0.2676464345398071,0.3911512101062728,intersection,3,30,334501,361993
0.2165771771372786,0.31737242628252527,intersection,3,40,346223,412487
0.18321598573381148,0.25967892141064763,intersection,3,50,357769,449921
0.1634727234362573,0.21778993401770813,intersection,3,60,369658,454819
0.14329680539540593,0.18315036355170314,intersection,3,70,361641,446704
0.14339654135381621,0.1602749726514047,intersection,3,80,347477,450663
0.1310686116555986,0.13795378238137904,intersection,3,90,320893,406252
0.105916013056332,0.11752009663553808,intersection,3,100,272971,326174
0.10025866573021679,0.10130306141749304,intersection,3,110,233506,296072
0.09447303276611504,0.08821700448299268,intersection,3,120,205212,246041
0.09304567916114258,0.08035336660463542,intersection,3,130,165940,189152
0.0952585545496394,0.07317208669263835,intersection,3,140,130340,144003
0.09691261119832549,0.06463221126600929,intersection,3,150,95550,105876
