rate,dist,pdr
5,0,0.928424798138771
5,10,0.8971458688072651
5,20,0.8781566911910916
5,30,0.84132472401583
5,40,0.8197285067873303
5,50,0.7983767025464172
5,60,0.7929447852760736
5,70,0.7884268512650514
5,80,0.7701520222589621
5,90,0.7417336537664705
5,100,0.7183091924642621
5,110,0.6807284040995608
5,120,0.6471185866681718
5,130,0.6119616864016895
5,140,0.599817101051669
5,150,0.5956627193608218
5,160,0.5559428950863213
5,170,0.5274725274725275
5,180,0.515785319652723
5,190,0.5014763779527559
5,200,0.43157894736842106
5,210,0.36228287841191065
5,220,0.29226686884003034
5,230,0.3946078431372549
5,240,0.2233115468409586
5,250,0.21859903381642512
5,260,0.25783560023654645
5,270,0.11423617800038528
5,280,0.11539629517157607
5,290,0.13115942028985508
5,300,0.12907702984038863
5,310,0.20933734939759036
5,320,0.172204759766502
5,330,0.08300395256916997
5,340,0.10901001112347053
5,350,0.10433884297520661
5,360,0.08567314614830814
5,370,0.02863278453829635
5,380,0.04597701149425287
5,390,0.04247104247104247
5,400,0.017351598173515982
5,410,0.0332409972299169
5,420,0.017432646592709985
5,430,0.125
5,440,0.03864734299516908
5,450,0.055232558139534885
5,460,0.0
25,0,0.8433266416126322
25,10,0.762235790937181
25,20,0.6518117577131787
25,30,0.5644736336540731
25,40,0.4854767354974915
25,50,0.4187679716876797
25,60,0.37090038024168054
25,70,0.32095182579006537
25,80,0.2892161817924509
25,90,0.25899889344529065
25,100,0.23088649277530202
25,110,0.20478166603507508
25,120,0.1845957059877314
25,130,0.17041755730037458
25,140,0.1581020255063766
25,150,0.1477893090702303
25,160,0.13625422607673085
25,170,0.12702686881695252
25,180,0.117744052764704
25,190,0.11380947124406668
25,200,0.09765962702235396
25,210,0.08401523436026999
25,220,0.08127979316474106
25,230,0.07770038261552045
25,240,0.0596722479515497
25,250,0.06969174803752633
25,260,0.07094690315634386
25,270,0.05246863726915415
25,280,0.044012766460459436
25,290,0.04137832631804238
25,300,0.027885360185902403
25,310,0.020854861437294505
25,320,0.031849264159357814
25,330,0.033280132411184014
25,340,0.03441533046538913
25,350,0.03371312626814422
25,360,0.08034934497816594
25,370,0.022757697456492636
25,380,0.023859861069163393
25,390,0.022625698324022347
25,400,0.013552479815455595
25,410,0.010659560293137908
25,420,0.02303921568627451
25,430,0.010560519902518278
25,440,0.017153453871117292
25,450,0.018745313671582105
25,460,0.00967741935483871
50,0,0.7151162893300415
50,10,0.5929089730915621
50,20,0.45470541370745443
50,30,0.35946127159554375
50,40,0.2908985406717712
50,50,0.24186090279244032
50,60,0.20375880139045563
50,70,0.173699286927588
50,80,0.15401397935962888
50,90,0.13478205791626174
50,100,0.11625564487629099
50,110,0.10302778394971869
50,120,0.09113522303360702
50,130,0.08373358082696236
50,140,0.07674448857516879
50,150,0.07103487090277358
50,160,0.06512234005142112
50,170,0.05996831632976364
50,180,0.05495904203879629
50,190,0.05006081556878561
50,200,0.03990214085470594
50,210,0.03464468237225601
50,220,0.029805156219050697
50,230,0.029935779233165892
50,240,0.026577638125163654
50,250,0.023075529795326934
50,260,0.030683097710496685
50,270,0.02669660929900001
50,280,0.023736248788533146
50,290,0.021058087925616354
50,300,0.017485879101069583
50,310,0.01832859919270444
50,320,0.011960867715865589
50,330,0.012033253487389038
50,340,0.01499608997653986
50,350,0.02196242735504798
50,360,0.017136606708799223
50,370,0.010905240868184224
50,380,0.011848341232227487
50,390,0.008989074816761167
50,400,0.00867992766726944
50,410,0.009673298047088885
50,420,0.011455525606469003
50,430,0.00789325314790453
50,440,0.008028545941123996
50,450,0.013635829317033032
50,460,0.02593192868719611
100,0,0.7106383253566885
100,10,0.6033695129490967
100,20,0.4663457692572926
100,30,0.37789856359084534
100,40,0.306960592839428
100,50,0.2525077308881675
100,60,0.21200462603278666
100,70,0.17963113908552528
100,80,0.15617868518360323
100,90,0.13821584387622124
100,100,0.12131004104005166
100,110,0.10875329969994528
100,120,0.10028304641811497
100,130,0.09516511724126285
100,140,0.0894563295325025
100,150,0.0819718754937589
100,160,0.07692562267922505
100,170,0.07088974769404918
100,180,0.06441770825917602
100,190,0.05472617218786518
100,200,0.04332449160035367
100,210,0.0427998632393622
100,220,0.038751625487646296
100,230,0.03183759498585612
100,240,0.031631176348976636
100,250,0.03258372206363573
100,260,0.03098877753660001
100,270,0.02792329279700655
100,280,0.026574307304785893
100,290,0.02186353631694791
100,300,0.013373597929249352
100,310,0.019318296753312432
100,320,0.016704416761041903
100,330,0.013404555533158637
100,340,0.013809990205680705
100,350,0.015310233682514102
100,360,0.02235861464270057
100,370,0.023026315789473683
100,380,0.020274689339437543
100,390,0.023577235772357725
100,400,0.015625
100,410,0.01646843549862763
100,420,0.010526315789473684
100,430,0.020833333333333332
100,440,0.01840855106888361
100,450,0.024232633279483037
