rate,dist,pdr
5,0,0.8977752970257555
5,20,0.8849516560378523
5,40,0.8390301514519939
5,60,0.8596396749241163
5,80,0.8496690828868578
5,100,0.8256900517538815
5,120,0.8280033536950533
5,140,0.8294665287424264
5,160,0.8992994746059545
5,180,0.9004707464694015
5,200,0.9023569023569024
5,220,0.8211678832116789
5,240,0.9347442680776014
5,260,0.8867924528301887
5,280,0.9649122807017544
25,0,0.7889997027261758
25,20,0.566069710987954
25,40,0.4124047723758317
25,60,0.3214605555110006
25,80,0.283458658934159
25,100,0.24215715506788318
25,120,0.22834561170997633
25,140,0.20847186213207258
25,160,0.21100268176400477
25,180,0.22178907427620978
25,200,0.22079681994760142
25,220,0.23222167729279058
25,240,0.2091816367265469
25,260,0.1730636635256263
25,280,0.21285563751317177
50,0,0.5952954890290373
50,20,0.27462476328446894
50,40,0.15594767575840585
50,60,0.11132376641842989
50,80,0.10317374562302375
50,100,0.08292195284498663
50,120,0.07242599316556206
50,140,0.07479495838861416
50,160,0.07505893622447393
50,180,0.08569432488740845
50,200,0.079115167266024
50,220,0.0732414068745004
50,240,0.06444281524926686
50,260,0.0777585210860774
50,280,0.09462976105985332
100,0,0.597363212179497
100,20,0.31226175670620115
100,40,0.16264251873625019
100,60,0.1119230166308019
100,80,0.09620042525654063
100,100,0.08161609290347659
100,120,0.08178528691093509
100,140,0.08720403674472765
100,160,0.08592628391920513
100,180,0.08724179366381202
100,200,0.059635051132945656
100,220,0.06895416769521928
100,240,0.10430764152500413
100,260,0.11436884512085944
100,280,0.12294288480154889
