rate,ns3_perinstant,ns3_avrgprr,analytical,generalized,ns3learn
5,0.8560760660892174,0.2701518921209041,0.8197466718776043,0.9847000642716243,0.7193776167571062
25,0.3644892266031702,0.1263470092667922,0.8488418095457121,0.9803557847866766,0.3716279275567774
50,0.18303935339319624,0.0510585337227589,0.8593352484322914,0.9809489060246802,0.2321960164209858
100,0.17847502661637296,0.061952584086851795,0.8639938646477722,0.9931787428406151,0.23836832984278145
