timeMs,cellId,rnti,bwpId,frame,subFrame,slot,txRnti,srcL2Id,dstL2Id,psschRbStart,psschRbLen,psschSymStart,psschSymLen,psschMcs,ndi,rv,tbSizeBytes,avrgSinr,minSinr,psschTbler,psschCorrupt,sci2Tbler,sci2Corrupt,SEED,RUN
5288.9285629999995,0,66,0,528,8,0,3,3,255,20,20,1,12,14,1,0,291,3085.0124908308326,1438.456822610592,0,0,0,0,1,1
5377.928563,0,43,0,537,7,0,1,1,255,0,20,1,12,14,1,0,291,258.4330488977363,165.0469878964464,0,0,0,0,1,1
5399.9285629999995,0,31,0,539,9,0,2,2,255,20,20,1,12,14,1,0,291,40.59009081777936,12.996860245309387,0,0,0,0,1,1
5488.928563,0,7,0,548,8,0,3,3,255,20,20,1,12,14,1,0,291,354.6497553481236,71.67046323731488,0,0,0,0,1,1
5499.928563,0,90,0,549,9,0,2,2,255,20,20,1,12,14,1,0,291,1529.0281626603505,1316.2258181976883,0,0,0,0,1,1
5588.9285629999995,0,65,0,558,8,0,3,3,255,20,20,1,12,14,1,0,291,410.7097985135509,225.51561310485826,0,0,0,0,1,1
5677.928563,0,42,0,567,7,0,1,1,255,0,20,1,12,14,1,0,291,30339.03950875953,18958.943945939245,0,0,0,0,1,1
5699.928563,0,27,0,569,9,0,2,2,255,20,20,1,12,14,1,0,291,472.03340417591806,422.2868770911472,0,0,0,0,1,1
5786.928563,0,33,0,578,6,0,1,1,255,0,20,1,12,14,0,1,291,437.23092523901295,308.8523573062551,0,0,0,0,1,1
5797.928563,0,80,0,579,7,0,2,2,255,20,20,1,12,14,1,0,291,84729.7871875998,78126.47754746731,0,0,0,0,1,1
5888.928563,0,55,0,588,8,0,3,3,255,20,20,1,12,14,1,0,291,197.47677058802128,119.15595223826348,0,0,0,0,1,1
5967.928563,0,31,0,596,7,0,1,1,255,20,20,1,12,14,1,0,291,141.24346023814928,79.7528703840857,0,0,0,0,1,1
5997.928563,0,15,0,599,7,0,2,2,255,20,20,1,12,14,1,0,291,12894.912092322771,8543.901922753374,0,0,0,0,1,1
6067.9285629999995,0,85,0,606,7,0,1,1,255,20,20,1,12,14,1,0,291,209.94218595489892,193.32704117928776,0,0,0,0,1,1
6097.928563,0,68,0,609,7,0,2,2,255,20,20,1,12,14,1,0,291,300.19121303217304,72.99868860538233,0,0,0,0,1,1
6188.928563,0,46,0,618,8,0,3,3,255,20,20,1,12,14,1,0,291,1245.8943642425356,907.6664386504594,0,0,0,0,1,1
6267.9285629999995,0,21,0,626,7,0,1,1,255,20,20,1,12,14,1,0,291,4311.455991258592,3330.810172418717,0,0,0,0,1,1
6297.928563,0,7,0,629,7,0,2,2,255,20,20,1,12,14,1,0,291,4710.389032873225,3515.0319360604894,0,0,0,0,1,1
6367.9285629999995,0,78,0,636,7,0,1,1,255,20,20,1,12,14,1,0,291,1828.306558167671,971.5760559124491,0,0,0,0,1,1
