rate,seed,totalTx,collision_frac,harq_retx_mult,mean_neighbours,numUes,prr300
1,0,22665,0.019148466799029342,2.5,6.0,6,0.30188892580726273
1,1,8575,0.013760932944606414,2.5,4.0,4,0.24512598143558598
1,2,14185,0.014663376806485724,2.5,6.0,6,0.3357666836607941
1,3,10670,0.01330834114339269,2.5,4.0,4,0.30475562822047303
1,4,14255,0.017467555243774115,2.5,4.0,5,0.32160081214056596
5,0,78239,0.18146959956032158,2.5050909323770494,26.0,26,0.2701518921209041
5,1,43767,0.08686910229168095,2.5121685225576855,13.0,13,0.34247640120901585
5,2,58967,0.09802092695914665,2.5043319459780853,20.0,20,0.27484712431146646
5,3,39892,0.09688659380326882,2.507826742943358,18.0,18,0.2607028830271748
5,4,44013,0.09063231318019677,2.5052937158469946,16.0,18,0.23205526954885938
10,0,123124,0.36000292388161526,2.520605154871333,44.0,44,0.2365442430121472
10,1,82774,0.2203590499432189,2.5094436865241776,26.0,26,0.29400519306357453
10,2,94640,0.21924133558748943,2.5174899582369057,34.0,34,0.24430445552264513
10,3,79165,0.2022484683888082,2.5126959944137623,30.0,31,0.26659539682383665
10,4,81148,0.23566816187706413,2.5227096092268475,36.0,36,0.20958979598332253
25,0,289236,0.8256026220802389,2.539474608414694,96.0,96,0.1263470092667922
25,1,186382,0.6456471118455644,2.5352231456669885,80.0,80,0.1334338317229439
25,2,227761,0.7202857381202226,2.548289288191725,86.0,86,0.1430740085666311
25,3,224809,0.726207580657358,2.547064421834991,97.0,96,0.12134537078302646
25,4,171653,0.6022091079095617,2.5269100544678347,90.0,90,0.12823374566625168
40,0,438623,0.9244271276244064,2.528581969953766,149.0,149,0.07403814718663333
40,1,361632,0.8740404610211485,2.5389978305284666,138.0,138,0.08353423492647605
40,2,373578,0.8997558742752517,2.5301420240973647,148.0,148,0.07766589799963561
40,3,355713,0.8774405208693525,2.5280944393904936,155.0,155,0.07185179194191449
40,4,332297,0.870170359648146,2.5392738971290587,151.0,151,0.07443400542491813
50,0,485098,0.9438773196343831,2.5239361286999413,200.0,200,0.051058533722758905
50,1,425572,0.9188151476130948,2.541183495551442,182.0,182,0.06302922379545742
50,2,501151,0.9484666298181585,2.530298899323437,196.0,196,0.05114177050704495
50,3,432843,0.9143038006852369,2.5271519234923545,196.0,196,0.05431673390745529
50,4,453354,0.9303899381057629,2.531742131480778,199.0,199,0.05090679247771457
75,0,84861,0.8197523008213431,2.5314261850073083,85.0,85,0.13023826083786116
75,1,103677,0.8708006597413119,2.5293242254208343,100.0,100,0.10562522422726052
75,2,93403,0.8352194255002516,2.5198424474600047,93.0,93,0.12294797828288813
75,3,92516,0.8298348393791344,2.5390674314570356,92.0,91,0.11935969788039974
75,4,91608,0.8239673390970221,2.527326399426159,99.0,98,0.11707912268958662
90,0,120345,0.9052889609040675,2.5320863490994783,116.0,116,0.0889374591589835
90,1,130133,0.9162549084398269,2.531327199517594,133.0,133,0.07151469993460684
90,2,123898,0.9054867713764548,2.5355162181520514,127.0,127,0.07946300226814626
90,3,118182,0.8958893909393986,2.5358223366591566,114.0,114,0.0898123856607008
90,4,108730,0.8740458015267175,2.5311947108669335,121.0,119,0.09127300435622748
100,0,150161,0.9492811049473565,2.5410962381331124,145.0,145,0.0619525840868518
100,1,148928,0.9388832187365707,2.5413033462450727,142.0,142,0.0634107695415232
100,2,132483,0.9193783353335899,2.5307163323782236,138.0,138,0.06862252548031053
100,3,123595,0.9046887009992314,2.538875536657012,128.0,128,0.07901163029314466
100,4,125901,0.911025329425501,2.5369456142825477,131.0,131,0.07944924044222443
