run_number,seed_set,run_id,dist_bin_m,attempts,delivered,pdr,drop_hd,drop_prop,drop_sps,drop_base,drop_cap
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,0,86521,44643,0.515979,9081,32797,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,10,99686,30706,0.308027,10395,58585,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,20,87801,19093,0.217458,9200,59508,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,30,99942,16827,0.168368,10512,72603,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,40,95454,12838,0.134494,9987,72629,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,50,112150,13127,0.117049,11692,87331,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,60,129036,13151,0.101917,13416,102469,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,70,140374,12871,0.091691,14671,112832,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,80,157301,13529,0.086007,16746,127026,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,90,152264,12334,0.081004,16208,123722,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,100,107872,8129,0.075358,11297,88446,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,110,85258,6341,0.074374,8971,69946,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,120,71673,5113,0.071338,7394,59166,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,130,60907,4635,0.076100,6294,49978,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,140,54973,4460,0.081131,5662,44851,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,150,46992,3629,0.077226,4985,38378,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,160,37188,2830,0.076100,3997,30361,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,170,29524,2311,0.078275,3073,24140,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,180,27449,2210,0.080513,2796,22443,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,190,22323,1540,0.068987,2384,18399,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,200,13431,700,0.052118,1408,11323,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,210,10284,576,0.056009,1055,8653,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,220,6879,434,0.063091,752,5693,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,230,4581,341,0.074438,444,3796,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,240,3675,291,0.079184,373,3011,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,250,3811,329,0.086329,398,3084,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,260,5612,507,0.090342,609,4496,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,270,4854,424,0.087351,474,3956,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,280,3839,319,0.083095,395,3125,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,290,2737,278,0.101571,292,2167,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,300,1208,89,0.073675,134,985,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,310,1757,88,0.050085,180,1489,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,320,2195,127,0.057859,224,1844,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,330,2063,108,0.052351,249,1706,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,340,2249,142,0.063139,232,1875,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,350,1445,90,0.062284,139,1216,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,360,754,36,0.047745,82,636,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,370,766,25,0.032637,77,664,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,380,564,35,0.062057,59,470,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,390,404,31,0.076733,51,322,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,400,350,21,0.060000,49,280,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,410,280,21,0.075000,31,228,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,420,314,30,0.095541,27,257,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,430,310,42,0.135484,42,226,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,440,391,48,0.122762,33,310,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,450,942,100,0.106157,84,758,0,0,0
0,0,Prop_NS3Learn_CAV100-0-20260719-12:57:49-89724,460,8,0,0.000000,1,7,0,0,0
