run_number,seed_set,run_id,dist_bin_m,attempts,delivered,pdr,drop_hd,drop_prop,drop_sps,drop_base,drop_cap
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,0,255222,208359,0.816383,2606,0,44257,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,10,386467,314699,0.814297,3889,0,67879,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,20,366133,297729,0.813172,3670,0,64734,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,30,407269,333161,0.818037,3959,0,70149,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,40,483270,394718,0.816765,4794,0,83758,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,50,463265,379552,0.819298,4633,0,79080,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,60,450082,368477,0.818689,4465,0,77140,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,70,454058,371483,0.818140,4589,0,77986,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,80,453127,373207,0.823626,4627,1,75292,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,90,434046,357553,0.823768,4307,4,72182,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,100,358765,294399,0.820590,3643,10,60713,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,110,299355,244797,0.817748,2995,23,51540,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,120,245924,200873,0.816809,2481,24,42546,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,130,212006,172870,0.815401,2059,47,37030,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,140,159909,129949,0.812643,1611,41,28308,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,150,126474,103512,0.818445,1283,52,21627,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,160,97565,79787,0.817783,975,64,16739,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,170,81273,66931,0.823533,815,59,13468,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,180,55624,46117,0.829085,590,52,8865,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,190,33197,28107,0.846673,342,41,4707,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,200,20772,17639,0.849172,199,26,2908,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,210,16050,13478,0.839751,186,47,2339,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,220,12898,10797,0.837107,132,31,1938,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,230,12888,10895,0.845360,102,33,1858,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,240,10460,8747,0.836233,105,37,1571,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,250,6917,5776,0.835044,71,24,1046,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,260,11029,9362,0.848853,101,54,1512,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,270,22423,18456,0.823083,212,95,3660,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,280,13403,10989,0.819891,151,80,2183,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,290,7135,5951,0.834057,72,33,1079,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,300,3864,3151,0.815476,56,32,625,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,310,7144,5907,0.826848,82,67,1088,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,320,9092,7385,0.812253,95,88,1524,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,330,6744,5387,0.798784,61,70,1226,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,340,5049,4114,0.814815,55,77,803,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,350,3236,2755,0.851360,35,42,404,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,360,1863,1605,0.861514,22,31,205,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,370,1725,1463,0.848116,17,30,215,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,380,1232,1044,0.847403,12,23,153,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,390,1306,1087,0.832312,7,28,184,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,400,704,581,0.825284,7,10,106,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,410,696,579,0.831897,6,14,97,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,420,648,549,0.847222,4,10,85,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,430,676,531,0.785503,4,24,117,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,440,867,676,0.779700,13,33,145,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,450,1601,1329,0.830106,19,48,205,0,0
0,0,Prop_Analytical_M3_CAV50-0-20260719-01:20:31-63411,460,102,84,0.823529,0,1,17,0,0
