run_number,seed_set,run_id,dist_bin_m,attempts,delivered,pdr,drop_hd,drop_prop,drop_sps,drop_base,drop_cap
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,0,235013,130726,0.556250,24862,79425,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,10,357654,121703,0.340281,37776,198175,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,20,320947,72964,0.227340,33954,214029,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,30,389921,68027,0.174464,41212,280682,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,40,419710,62138,0.148050,44211,313361,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,50,416225,53545,0.128644,43786,318894,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,60,407826,46079,0.112987,43031,318716,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,70,413921,42927,0.103708,43643,327351,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,80,393674,41457,0.105308,41363,310854,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,90,377637,37242,0.098619,39429,300966,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,100,316377,27766,0.087762,33574,255037,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,110,258140,21458,0.083125,27173,209509,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,120,230115,17730,0.077048,24391,187994,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,130,184762,13891,0.075183,19275,151596,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,140,142437,10156,0.071302,14926,117355,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,150,118580,8777,0.074018,12522,97281,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,160,100184,6633,0.066208,10447,83104,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,170,91919,5825,0.063371,9744,76350,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,180,59283,4153,0.070054,6238,48892,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,190,34242,2891,0.084428,3554,27797,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,200,23597,1798,0.076196,2464,19335,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,210,15933,1143,0.071738,1701,13089,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,220,12782,966,0.075575,1373,10443,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,230,11799,937,0.079414,1210,9652,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,240,10397,839,0.080696,1066,8492,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,250,6989,499,0.071398,726,5764,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,260,11984,1342,0.111983,1191,9451,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,270,21533,1422,0.066038,2229,17882,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,280,14307,883,0.061718,1482,11942,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,290,7116,463,0.065065,775,5878,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,300,3833,247,0.064440,373,3213,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,310,7085,459,0.064785,740,5886,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,320,7942,465,0.058549,853,6624,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,330,5365,279,0.052004,537,4549,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,340,3299,267,0.080934,359,2673,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,350,3570,357,0.100000,339,2874,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,360,1944,173,0.088992,205,1566,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,370,1805,111,0.061496,186,1508,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,380,1542,97,0.062905,161,1284,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,390,778,51,0.065553,93,634,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,400,885,50,0.056497,119,716,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,410,582,41,0.070447,59,482,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,420,711,43,0.060478,69,599,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,430,820,53,0.064634,96,671,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,440,1039,70,0.067372,102,867,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,450,1799,136,0.075598,166,1497,0,0,0
0,0,Prop_NS3Learn_CAV50-0-20260719-02:08:48-74495,460,112,4,0.035714,10,98,0,0,0
