run_number,seed_set,run_id,dist_bin_m,attempts,delivered,pdr,drop_hd,drop_prop,drop_sps,drop_base,drop_cap
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,0,1317,1293,0.981777,22,0,2,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,10,300,297,0.990000,2,0,1,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,20,72,72,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,30,258,250,0.968992,6,0,2,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,40,390,385,0.987179,5,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,50,1324,1309,0.988671,15,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,60,536,532,0.992537,2,0,2,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,70,654,652,0.996942,2,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,80,466,462,0.991416,4,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,90,296,291,0.983108,4,0,1,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,100,164,162,0.987805,2,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,110,192,186,0.968750,2,0,4,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,120,1548,1519,0.981266,21,0,8,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,130,444,436,0.981982,4,0,4,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,140,283,275,0.971731,5,1,2,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,150,22,22,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,160,22,22,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,170,30,30,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,180,36,34,0.944444,0,1,1,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,190,155,150,0.967742,3,0,2,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,200,49,48,0.979592,1,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,210,34,34,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,220,37,35,0.945946,1,1,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,230,31,31,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,240,91,91,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,250,38,37,0.973684,0,0,1,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,260,532,521,0.979323,6,4,1,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,270,116,114,0.982759,2,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,280,1872,1836,0.980769,22,13,1,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,290,152,151,0.993421,0,1,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,300,114,112,0.982456,0,2,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,310,108,106,0.981481,1,1,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,320,598,587,0.981605,6,3,2,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,330,472,462,0.978814,5,4,1,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,340,42,42,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,350,24,23,0.958333,1,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,360,15,14,0.933333,1,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,370,14,14,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,380,14,14,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,390,15,14,0.933333,1,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,400,14,14,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,410,15,15,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,420,14,14,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,430,16,15,0.937500,0,1,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,440,19,16,0.842105,0,2,1,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,450,32,32,1.000000,0,0,0,0,0
0,0,Prop_Analytical_M3_CAV01-0-20260719-01:10:28-60686,460,4,4,1.000000,0,0,0,0,0
