run_number,seed_set,run_id,dist_bin_m,attempts,delivered,pdr,drop_hd,drop_prop,drop_sps,drop_base,drop_cap
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,0,68099,45863,0.673475,6968,15268,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,10,100708,50781,0.504240,10157,39770,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,20,96368,38233,0.396740,9814,48321,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,30,97223,33360,0.343129,9598,54265,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,40,120003,35666,0.297209,12007,72330,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,50,105106,27450,0.261165,10574,67082,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,60,126827,30747,0.242433,12574,83506,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,70,122297,27556,0.225320,12360,82381,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,80,150949,32462,0.215053,15312,103175,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,90,141823,29810,0.210192,14176,97837,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,100,127017,25657,0.201997,12828,88532,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,110,124093,23540,0.189696,12416,88137,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,120,98723,17922,0.181538,9888,70913,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,130,84163,14508,0.172380,8556,61099,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,140,65977,11947,0.181078,6614,47416,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,150,45900,8649,0.188431,4580,32671,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,160,37898,7092,0.187134,3779,27027,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,170,33866,6108,0.180358,3393,24365,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,180,20574,3701,0.179887,2016,14857,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,190,18878,4078,0.216019,1847,12953,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,200,13438,2591,0.192811,1327,9520,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,210,12897,2361,0.183066,1339,9197,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,220,13227,2480,0.187495,1250,9497,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,230,12685,2366,0.186520,1272,9047,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,240,7526,1449,0.192533,698,5379,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,250,6388,1354,0.211960,616,4418,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,260,4766,1239,0.259966,459,3068,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,270,11541,2254,0.195304,1130,8157,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,280,6746,1334,0.197747,644,4768,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,290,2763,498,0.180239,264,2001,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,300,1092,220,0.201465,106,766,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,310,2928,430,0.146858,290,2208,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,320,3980,541,0.135930,432,3007,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,330,5249,884,0.168413,501,3864,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,340,2832,444,0.156780,278,2110,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,350,1020,149,0.146078,110,761,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,360,1679,414,0.246575,146,1119,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,370,538,94,0.174721,47,397,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,380,427,64,0.149883,32,331,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,390,1468,240,0.163488,143,1085,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,400,1047,152,0.145177,92,803,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,410,904,145,0.160398,89,670,0,0,0
0,0,Prop_NS3Learn_CAV25-0-20260719-02:06:33-73860,420,536,81,0.151119,58,397,0,0,0
