run_number,seed_set,run_id,dist_bin_m,attempts,delivered,pdr,drop_hd,drop_prop,drop_sps,drop_base,drop_cap
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,0,18859,11918,0.631953,1931,5010,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,10,31328,14635,0.467154,3155,13538,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,20,28244,10046,0.355686,2876,15322,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,30,37028,10946,0.295614,3737,22345,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,40,39860,10543,0.264501,4015,25302,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,50,41299,10045,0.243226,4127,27127,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,60,43584,9682,0.222146,4443,29459,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,70,43015,9186,0.213553,4272,29557,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,80,51259,10478,0.204413,5162,35619,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,90,47124,9111,0.193341,4638,33375,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,100,38456,6926,0.180102,3908,27622,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,110,25413,4763,0.187424,2572,18078,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,120,20961,3897,0.185917,2056,15008,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,130,18814,3518,0.186988,1937,13359,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,140,18090,3359,0.185683,1846,12885,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,150,15698,2800,0.178367,1563,11335,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,160,12660,2304,0.181991,1264,9092,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,170,8865,1679,0.189397,842,6344,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,180,9044,1677,0.185427,910,6457,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,190,7034,1351,0.192067,680,5003,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,200,3894,641,0.164612,413,2840,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,210,2703,453,0.167592,272,1978,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,220,2207,321,0.145446,246,1640,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,230,2514,344,0.136834,237,1933,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,240,2126,275,0.129351,203,1648,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,250,1411,222,0.157335,149,1040,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,260,2783,581,0.208768,257,1945,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,270,1956,475,0.242843,188,1293,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,280,2349,445,0.189442,240,1664,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,290,1631,255,0.156346,153,1223,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,300,861,139,0.161440,81,641,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,310,913,157,0.171961,78,678,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,320,1002,141,0.140719,108,753,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,330,958,149,0.155532,105,704,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,340,795,146,0.183648,90,559,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,350,786,109,0.138677,96,581,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,360,353,35,0.099150,26,292,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,370,126,23,0.182540,14,89,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,380,149,27,0.181208,11,111,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,390,107,29,0.271028,16,62,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,400,155,28,0.180645,16,111,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,410,167,33,0.197605,18,116,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,420,144,32,0.222222,19,93,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,430,177,43,0.242938,20,114,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,440,210,49,0.233333,22,139,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,450,446,86,0.192825,44,316,0,0,0
0,0,Prop_NS3Learn_CAV75-0-20260719-03:57:35-81258,460,5,0,0.000000,1,4,0,0,0
