run_number,seed_set,run_id,dist_bin_m,attempts,delivered,pdr,drop_hd,drop_prop,drop_sps,drop_base,drop_cap
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,0,3137,2782,0.886835,266,89,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,10,7532,6349,0.842937,640,543,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,20,8343,6618,0.793240,750,975,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,30,9256,7178,0.775497,806,1272,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,40,12828,9716,0.757406,1099,2013,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,50,14233,10725,0.753531,1235,2273,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,60,13270,9829,0.740693,1195,2246,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,70,8166,6013,0.736346,701,1452,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,80,7167,5262,0.734198,610,1295,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,90,9465,6817,0.720232,832,1816,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,100,8116,5782,0.712420,684,1650,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,110,4636,3309,0.713762,401,926,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,120,4830,3420,0.708075,426,984,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,130,4733,3312,0.699768,391,1030,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,140,4620,3241,0.701515,388,991,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,150,2572,1762,0.685070,220,590,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,160,2134,1413,0.662137,183,538,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,170,1080,763,0.706481,93,224,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,180,777,519,0.667954,66,192,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,190,853,607,0.711606,63,183,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,200,470,320,0.680851,45,105,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,210,214,133,0.621495,14,67,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,220,282,182,0.645390,24,76,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,230,225,150,0.666667,22,53,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,240,442,299,0.676471,18,125,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,250,256,177,0.691406,28,51,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,260,731,469,0.641587,65,197,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,270,2324,1678,0.722031,215,431,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,280,2389,1611,0.674341,199,579,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,290,1364,835,0.612170,119,410,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,300,308,196,0.636364,24,88,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,310,1003,669,0.666999,73,261,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,320,2076,1291,0.621869,162,623,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,330,1516,986,0.650396,130,400,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,340,659,429,0.650986,63,167,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,350,172,109,0.633721,11,52,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,360,92,57,0.619565,5,30,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,370,567,371,0.654321,48,148,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,380,99,57,0.575758,12,30,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,390,105,65,0.619048,7,33,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,400,119,68,0.571429,7,44,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,410,208,142,0.682692,11,55,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,420,364,248,0.681319,24,92,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,430,208,137,0.658654,21,50,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,440,143,91,0.636364,9,43,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,450,235,146,0.621277,17,72,0,0,0
0,0,Prop_NS3Learn_CAV05-0-20260719-02:00:55-72527,460,15,10,0.666667,2,3,0,0,0
